Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2097.945	-2250.179	152.2338	1.376247	5.758457	0.2791851	0.773237	0.226763	2.325
6	-2083.725	-2234.817	151.0918	1.376247	6.877862	0.3400734	0.773237	0.226763	2.787417
12	-2088.928	-2240.489	151.5607	1.295579	4.529487	0.3400734	0.723547	0.276453	2.91417
18	-2099.434	-2249.856	150.422	1.274786	5.552205	0.2554022	0.738069	0.261931	3.549084
24	-2109.455	-2259.184	149.7285	1.243577	3.793433	0.242895	0.749209	0.250791	4.285048
30	-2115.559	-2266.776	151.2173	1.382652	3.51696	0.5280959	0.693854	0.306146	3.06502
36	-2099.769	-2251.561	151.7923	1.309404	3.51696	0.3340195	0.801603	0.198397	2.97933
42	-2099.301	-2249.658	150.3568	1.279317	3.51696	0.4272658	0.770609	0.229391	3.731504
48	-2097.63	-2247.052	149.4224	1.301745	3.85197	0.6789441	0.775251	0.224749	3.96133
54	-2090.125	-2240.206	150.0814	1.23603	6.224473	0.2936512	0.702038	0.297962	3.618861
60	-2102.155	-2252.374	150.2189	1.128935	5.90088	0.2789052	0.648357	0.351643	3.666631
66	-2092.633	-2242.09	149.4569	1.005748	5.556578	0.2498076	0.697134	0.302866	4.264646
72	-2091.17	-2238.668	147.4975	0.9686407	3.764634	0.3610155	0.697134	0.302866	5.532998
78	-2091.488	-2240.55	149.0618	1.048385	3.764634	0.5468608	0.801849	0.198151	4.434819
84	-2097.555	-2246.265	148.7104	1.033605	3.764634	0.434496	0.656686	0.343314	4.746218
90	-2101.878	-2250.675	148.7971	1.065713	5.319622	0.4135444	0.63497	0.36503	4.434629
96	-2095.293	-2246.187	150.8939	1.46862	5.319622	0.4044351	0.815664	0.184336	2.997611
102	-2097.682	-2245.939	148.2578	1.028224	4.986266	0.2462678	0.803367	0.196633	5.015302
108	-2113.46	-2262.296	148.8356	1.143976	4.986266	0.1852871	0.695531	0.304469	4.726208
114	-2108.839	-2256.686	147.8468	1.064437	4.986266	0.2569784	0.729523	0.270477	5.207578
120	-2108.995	-2256.271	147.276	1.166165	5.795526	0.1786697	0.793896	0.206104	5.47178
126	-2123.521	-2271.968	148.4475	1.139044	5.795526	0.1786697	0.530089	0.469911	4.838039
132	-2102.624	-2253.349	150.7256	1.393896	5.746586	0.2611312	0.645946	0.354054	3.263791
138	-2109.507	-2259.87	150.3634	1.594893	4.233996	0.5658985	0.645946	0.354054	3.263791
144	-2095.495	-2244.774	149.2795	1.145861	4.233996	0.3095733	0.760677	0.239323	4.417536
150	-2092.648	-2239.902	147.2542	1.050291	4.637849	0.3095733	0.727096	0.272904	5.527595
156	-2096.876	-2245.562	148.686	1.057341	6.817496	0.3095733	0.79096	0.20904	4.42061
162	-2101.33	-2249.106	147.7754	1.127161	6.817496	0.2854928	0.81008	0.18992	4.923063
168	-2118.209	-2268.871	150.6621	1.32679	8.335178	0.4076885	0.843606	0.156394	2.819735
174	-2107.81	-2259.578	151.7683	1.330455	5.154375	0.368218	0.826332	0.173668	2.620233
180	-2088.86	-2239.832	150.9725	1.250083	5.154375	0.4808256	0.768727	0.231273	3.025773
186	-2102.379	-2253.425	151.0456	1.216907	5.334914	0.5706674	0.693496	0.306504	2.885987
192	-2094.111	-2244.397	150.2864	1.148005	7.193854	0.3633644	0.777819	0.222181	3.336189
198	-2100.499	-2249.475	148.9755	1.07774	5.253742	0.4076803	0.719939	0.280061	4.343368
204	-2113.044	-2262.64	149.5959	1.273223	6.479053	0.7280415	0.625913	0.374087	3.418826
210	-2107.149	-2257.482	150.3337	1.351382	3.688469	0.7280415	0.758753	0.241247	3.401758
216	-2097.786	-2249.936	152.1504	1.543773	3.755747	0.5886556	0.634316	0.365684	2.28023
222	-2102.863	-2254.569	151.7065	1.61202	6.775606	0.4350697	0.729304	0.270696	2.149578
